date,category_id,category_title,revenue
2025-03-01,1,Wine,139338544.0
2025-04-01,1,Wine,146474976.0
2025-05-01,1,Wine,125111776.0
2025-06-01,1,Wine,130496560.0
2025-07-01,1,Wine,130371264.0
2025-08-01,1,Wine,136431936.0
2025-09-01,1,Wine,160429136.0
2025-10-01,1,Wine,141505264.0
2025-11-01,1,Wine,132241240.0
2025-12-01,1,Wine,118691088.0
2026-01-01,1,Wine,135229360.0
2026-02-01,1,Wine,127230320.0
2026-03-01,1,Wine,155741056.0
2026-04-01,1,Wine,154228912.0
2026-05-01,1,Wine,122311304.0
2026-06-01,1,Wine,156800240.0
2026-07-01,1,Wine,134151264.0
2026-08-01,1,Wine,136808336.0
2025-03-01,2,Champagne & Sparkling Wine,180989088.0
2025-04-01,2,Champagne & Sparkling Wine,178650048.0
2025-05-01,2,Champagne & Sparkling Wine,148090208.0
2025-06-01,2,Champagne & Sparkling Wine,174789168.0
2025-07-01,2,Champagne & Sparkling Wine,177561504.0
2025-08-01,2,Champagne & Sparkling Wine,176378896.0
2025-09-01,2,Champagne & Sparkling Wine,176601696.0
2025-10-01,2,Champagne & Sparkling Wine,173519472.0
2025-11-01,2,Champagne & Sparkling Wine,178984400.0
2025-12-01,2,Champagne & Sparkling Wine,182123120.0
2026-01-01,2,Champagne & Sparkling Wine,188675200.0
2026-02-01,2,Champagne & Sparkling Wine,179456624.0
2026-03-01,2,Champagne & Sparkling Wine,185252272.0
2026-04-01,2,Champagne & Sparkling Wine,172040944.0
2026-05-01,2,Champagne & Sparkling Wine,170945168.0
2026-06-01,2,Champagne & Sparkling Wine,174398608.0
2026-07-01,2,Champagne & Sparkling Wine,178576160.0
2026-08-01,2,Champagne & Sparkling Wine,187579088.0
2025-03-01,3,Whiskey,526592192.0
2025-04-01,3,Whiskey,623880064.0
2025-05-01,3,Whiskey,557623040.0
2025-06-01,3,Whiskey,550967296.0
2025-07-01,3,Whiskey,549156096.0
2025-08-01,3,Whiskey,628955072.0
2025-09-01,3,Whiskey,590059200.0
2025-10-01,3,Whiskey,616014912.0
2025-11-01,3,Whiskey,630597120.0
2025-12-01,3,Whiskey,604913216.0
2026-01-01,3,Whiskey,602127232.0
2026-02-01,3,Whiskey,582091648.0
2026-03-01,3,Whiskey,579953216.0
2026-04-01,3,Whiskey,560931712.0
2026-05-01,3,Whiskey,543008896.0
2026-06-01,3,Whiskey,563704896.0
2026-07-01,3,Whiskey,536545120.0
2026-08-01,3,Whiskey,594643328.0
2025-03-01,4,Cognac & Brandy,98654368.0
2025-04-01,4,Cognac & Brandy,84338464.0
2025-05-01,4,Cognac & Brandy,98170480.0
2025-06-01,4,Cognac & Brandy,102379736.0
2025-07-01,4,Cognac & Brandy,94802536.0
2025-08-01,4,Cognac & Brandy,100403328.0
2025-09-01,4,Cognac & Brandy,99370120.0
2025-10-01,4,Cognac & Brandy,103122536.0
2025-11-01,4,Cognac & Brandy,98212184.0
2025-12-01,4,Cognac & Brandy,99244656.0
2026-01-01,4,Cognac & Brandy,102071808.0
2026-02-01,4,Cognac & Brandy,102715096.0
2026-03-01,4,Cognac & Brandy,101460496.0
2026-04-01,4,Cognac & Brandy,101638320.0
2026-05-01,4,Cognac & Brandy,114533952.0
2026-06-01,4,Cognac & Brandy,113694704.0
2026-07-01,4,Cognac & Brandy,100996448.0
2026-08-01,4,Cognac & Brandy,104262424.0
2025-03-01,5,Vodka,103883960.0
2025-04-01,5,Vodka,106088888.0
2025-05-01,5,Vodka,115791736.0
2025-06-01,5,Vodka,111152312.0
2025-07-01,5,Vodka,117201864.0
2025-08-01,5,Vodka,109604872.0
2025-09-01,5,Vodka,101607736.0
2025-10-01,5,Vodka,119994600.0
2025-11-01,5,Vodka,121283912.0
2025-12-01,5,Vodka,114186032.0
2026-01-01,5,Vodka,107607096.0
2026-02-01,5,Vodka,114366128.0
2026-03-01,5,Vodka,121301904.0
2026-04-01,5,Vodka,119554040.0
2026-05-01,5,Vodka,118908672.0
2026-06-01,5,Vodka,114082736.0
2026-07-01,5,Vodka,111826384.0
2026-08-01,5,Vodka,119727168.0
